"","Gene_Symbol","Ensembl_ID","PGG_Family","F_Statistic","P_Value","FDR"
"2831","ABCA10","ENST00000429152","NA","2136.97538218759","1.34294158532797e-269","2.32087164776381e-265"
"12735","ARHGAP20","ENST00000391742","NA","2086.02963879606","1.44581877405721e-265","1.24933200266284e-261"
"1462","PLSCR4",NA,"NA","1505.21041266215","1.325288763689e-214","7.63454680469111e-211"
"9225","CNTNAP3B","ENST00000216039","NA","1445.47911287972","9.35243035954562e-209","4.04071753684168e-205"
"8588","ABCA9","ENST00000445820","NA","1402.88780640442","1.6683454463408e-204","5.76646920073235e-201"
"6930","RP11-481H12.1","ENST00000555779","pgAmat17702.csv","1386.01332859714","8.43099520329615e-203","2.42840765172274e-199"
"1508","CNTNAP3P2","ENST00000419597","NA","1328.92350569881","5.92704120860779e-197","1.463301802388e-193"
"8132","PPP1R12B",NA,"NA","1145.33741718741","3.23328731174148e-177","6.98470891518953e-174"
"3512","GGTA1P",NA,"NA","1087.88669885839","1.00872248618631e-170","1.93697133403021e-167"
"2457","FOXO1","ENST00000423638","pgAmat10611.csv","1081.15356908774","5.9634724560157e-170","1.03060730984863e-166"
"2923","METTL7A","ENST00000557346","NA","1061.18747638614","1.19501597997259e-167","1.8774787423533e-164"
"13310","HLF",NA,"NA","1051.44022659046","1.61622604485801e-166","2.327634875603e-163"
"15586","TNXB","ENST00000443728","pgAmat12190.csv","1014.6987648122","3.28521046356349e-162","4.36730824856186e-159"
"13714","PROS1",NA,"NA","988.489351649469","4.30034834737582e-159","5.30847286709636e-156"
"1204","MMRN2","ENST00000632147","NA","984.760338353485","1.2022594745554e-158","1.38516321595109e-155"
"16406","GABARAPL1","ENST00000432629","pgAmat3582.csv","960.079265503577","1.1337154459707e-155","1.2245543960791e-152"
"14700","ADGRF5","ENST00000604187","pgAmat15869.csv","956.236909789754","3.31607307870199e-155","3.37108087918399e-152"
"16955","AOC3","ENST00000522430","pgAmat30352.csv","952.854383711389","8.54374217045888e-155","8.20294178832613e-152"
"3245","PABPC1P4","ENST00000537513","NA","933.504940780518","1.97392937262888e-152","1.79544460093538e-149"
"6284","LIMS2",NA,"NA","916.819670895356","2.24286956771417e-150","1.93806359346181e-147"
"12870","GOLGA8M","ENST00000484793","NA","905.98924578955","4.93950780706959e-149","4.0649797105608e-146"
"10874","WASF3","ENST00000452418","pgAmat4901.csv","886.227874114121","1.45136928930276e-146","1.14011654807865e-143"
"7818","INMT","ENST00000313946","pgAmat36600.csv","866.792302542994","4.09300543747612e-144","3.07544869436793e-141"
"7474","GLYAT",NA,"NA","864.809876727374","7.29894424664981e-144","5.25584810294175e-141"
"8708","MYLK","ENST00000432950","pgAmat12041.csv","861.382934869591","1.98654538023114e-143","1.37325909044618e-140"
"905","FOXN3","ENST00000438109","pgAmat705.csv","850.00355489615","5.5872738323041e-142","3.63017764311147e-139"
"8097","NR3C1","ENST00000610959","pgAmat45178.csv","849.952671871156","5.67149614419683e-142","3.63017764311147e-139"
"1723","NDN",NA,"NA","832.07240275518","1.11430681419249e-139","6.87766084388379e-137"
"854","KLF4","ENST00000627237","NA","829.254008712342","2.57232490264421e-139","1.53292824025853e-136"
"4704","CIDEC","ENST00000415971","NA","826.844582833943","5.26412294743658e-139","3.0324857592533e-136"
"1092","AOC4P","ENST00000265732","NA","813.610942554353","2.72950521566258e-137","1.52165513345422e-134"
"7216","PGM5","ENST00000512596","NA","805.009172272914","3.60334859667801e-136","1.94603345149342e-133"
"3557","WHAMMP2",NA,"NA","766.931271247475","3.76495836216755e-131","1.97169728530241e-128"
"9203","KANK1","ENST00000390595","NA","764.481110373553","7.98049109644531e-131","4.05643668025788e-128"
"11616","AQP7","ENST00000602430","NA","762.949118657174","1.27714400437223e-130","6.30617219530312e-128"
"4998","GYG2",NA,"NA","757.320077805964","7.21014759249244e-130","3.46127140815151e-127"
"7779","PPP1R1A","ENST00000336023","NA","724.651600782514","1.83473396739464e-125","8.5696952498687e-123"
"5354","SLC19A3",NA,"NA","707.852750865633","3.61576579374777e-123","1.64441222230392e-120"
"7934","MRAS",NA,"NA","707.738753295686","3.74835339985586e-123","1.66100111426433e-120"
"1766","ZNF300P1",NA,"NA","679.549836776307","2.95282152949315e-119","1.27576654181751e-116"
"16101","EGFEM1P",NA,"NA","674.616497509445","1.43926679080572e-118","6.06668504358647e-116"
"5527","AC129778.2","ENST00000524184","NA","664.093318446608","4.28108482295444e-117","1.76156447405473e-114"
"11136","RP11-386I14.2","ENST00000498161","pgAmat18109.csv","660.85614249126","1.22034132212904e-116","4.90463691372884e-114"
"9888","RCBTB2","ENST00000485185","pgAmat8764.csv","657.445486336068","3.68675557635733e-116","1.44805704251381e-113"
"11358","BHMT2","ENST00000637883","NA","654.355514775902","1.00559100333068e-115","3.86191638212461e-113"
"1528","NAALAD2",NA,"NA","635.078953545128","5.46351941466761e-113","2.05262048965838e-110"
