"","Mir","Gene","Corr","p","q","Prediction.DBs","Miranda","Pictar","Targetscan","Total"
"5409","hsa-miR-93-5p","TNS1",-0.312,"5.59546283052104e-06","5.89112706937557e-06","miranda",1,0,0,1
"5570","hsa-miR-96-5p","TNS1",-0.328,"1.11550579884323e-09","3.26871680060186e-09","miranda,targetscan",1,0,1,2
"11011","hsa-miR-204-5p","PTENP1",-0.434,"1.79957271306819e-10","6.31752591142585e-10","miranda",1,0,0,1
"14201","hsa-miR-30b-5p","PTENP1",-0.353,"1.28407129373898e-08","2.91220907336289e-08","0",0,0,0,0
"16855","hsa-miR-138-2-3p","TPTE2",-0.659,"0","0","0",0,0,0,0
"25746","hsa-miR-380-3p","TNS3",-0.351,"4.61077817970335e-06","4.99508827828378e-06","0",0,0,0,0
"26261","hsa-miR-328-3p","TNS4",-0.334,"6.33996511401058e-07","9.01812269351764e-07","miranda",1,0,0,1
"28243","hsa-miR-339-5p","PTENP1",-0.465,"4.72177852373079e-13","2.76250119730353e-12","0",0,0,0,0
"28244","hsa-miR-339-5p","PTEN",-0.377,"2.38987931888701e-06","2.84194540319381e-06","0",0,0,0,0
"29591","hsa-miR-423-3p","PTEN",-0.363,"1.65548644792679e-08","3.65001394785383e-08","0",0,0,0,0
"31298","hsa-miR-488-5p","TNS4",-0.551,"0","0","0",0,0,0,0
"31300","hsa-miR-488-5p","TPTE2",-0.475,"1.27391988935521e-06","1.65094282839208e-06","0",0,0,0,0
"33071","hsa-miR-525-5p","TNS1",-0.382,"8.46764880435558e-09","2.01042672445718e-08","0",0,0,0,0
"33352","hsa-miR-518b","TNS1",-0.334,"1.04249942012302e-13","6.86568023805388e-13","0",0,0,0,0
"41316","hsa-miR-597-5p","TPTE",-0.344,"9.75272473890954e-09","2.2800026421227e-08","0",0,0,0,0
"41592","hsa-miR-615-5p","TPTE2",-0.33,"1.2484473279617e-06","1.62243123242743e-06","0",0,0,0,0
"45777","hsa-miR-541-3p","TPTE",-0.321,"3.03324032557839e-12","1.52766074937579e-11","0",0,0,0,0
"47698","hsa-miR-216b-5p","TPTE",-0.386,"3.63498120492523e-12","1.80432822878819e-11","0",0,0,0,0
"49874","hsa-miR-1234-3p","TPTE",-0.399,"1.01846031408392e-06","1.36052214805876e-06","0",0,0,0,0
"53081","hsa-miR-1255a","TPTE2",-0.415,"8.27778079526276e-07","1.13653200810023e-06","0",0,0,0,0
"53351","hsa-miR-548n","TPTE2",-0.531,"0","0","0",0,0,0,0
"55943","hsa-miR-2276-3p","TPTE2",-0.416,"4.76961048434532e-09","1.20351831279774e-08","0",0,0,0,0
"57261","hsa-miR-3128","TNS4",-0.508,"0","0","0",0,0,0,0
"59926","hsa-miR-1260b","PTEN",-0.386,"5.39291944434694e-11","2.11293166228218e-10","0",0,0,0,0
"60170","hsa-miR-3170","TNS4",-0.324,"7.42631066941168e-06","7.50210046660607e-06","0",0,0,0,0
"60598","hsa-miR-3177-3p","TNS3",-0.313,"3.14752406993524e-06","3.60257392383708e-06","0",0,0,0,0
"63373","hsa-miR-4284","TPTE",-0.507,"0","0","0",0,0,0,0
"66335","hsa-miR-3661","PTEN",-0.5,"0","0","0",0,0,0,0
"67262","hsa-miR-3678-3p","PTEN",-0.412,"1.56502529824465e-08","3.47154602895647e-08","0",0,0,0,0
"67508","hsa-miR-3679-5p","TPTE2",-0.487,"0","0","0",0,0,0,0
